step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
100,48.2106,0.190792,0.340499,0.0423192,2.12049,2.525e-05,4.55422
200,108.925,0.190648,0.341776,0.042566,2.11993,7.525e-05,nan
300,110.454,0.194631,0.353961,0.0455458,2.16883,9.99467e-05,5.83076
400,109.41,0.198333,0.35588,0.0456963,2.20697,9.96242e-05,6.06736
500,109.651,0.19663,0.352047,0.044684,2.18701,9.89798e-05,5.34536
600,109.036,0.192401,0.340026,0.0439936,2.13802,9.80179e-05,nan
700,109.458,0.191927,0.349508,0.0441883,2.13821,9.67451e-05,5.18641
800,110.196,0.196988,0.353547,0.0450571,2.19171,9.517e-05,5.11917
900,109.525,0.192879,0.347757,0.0459373,2.14861,9.33035e-05,5.37234
1000,109.419,0.191069,0.354787,0.0433602,2.13145,9.11582e-05,4.87567
1000,,,,,,,
1100,73.4101,0.191404,0.348421,0.0429237,2.13118,8.87489e-05,5.2409
1200,110.528,0.190316,0.349752,0.04365,2.12169,8.60919e-05,5.1508
1300,109.992,0.191891,0.348591,0.0437023,2.1369,8.32054e-05,5.06188
1400,109.897,0.19054,0.340175,0.0438089,2.1193,8.01093e-05,5.15672
1500,110.451,0.19023,0.351901,0.0431068,2.12136,7.68245e-05,5.04521
1600,109.69,0.192742,0.348117,0.0440827,2.14556,7.33735e-05,4.77912
1700,109.369,0.191206,0.341345,0.0430806,2.12581,6.978e-05,4.85991
1800,109.62,0.189547,0.345378,0.0445972,2.11276,6.60684e-05,5.36402
1900,104.325,0.190512,0.34384,0.0433619,2.1204,6.22642e-05,4.98984
2000,109.711,0.190921,0.347074,0.0445254,2.12727,5.83932e-05,4.9307
2000,,,,,,,
2100,82.8323,0.188301,0.34664,0.0438395,2.10017,5.4482e-05,4.61697
2200,109.899,0.192166,0.347502,0.0438173,2.13923,5.05572e-05,4.92837
2300,110.016,0.18786,0.339049,0.0423934,2.09052,4.66458e-05,4.48188
2400,110.06,0.18922,0.343342,0.04297,2.10684,4.27743e-05,5.11669
2500,110.525,0.186787,0.336248,0.0434088,2.07941,3.89692e-05,4.81977
2600,110.121,0.188093,0.341569,0.0436696,2.09539,3.52566e-05,4.50512
2700,109.211,0.183922,0.347713,0.0433279,2.05641,3.16617e-05,4.54129
2800,108.94,0.191092,0.34248,0.0431044,2.12526,2.82092e-05,4.7287
2900,110.276,0.188485,0.344376,0.042128,2.09917,2.49227e-05,4.38502
3000,109.095,0.189825,0.341587,0.0421127,2.11115,2.18245e-05,4.34879
3000,,,,,,,
3100,85.9579,0.187947,0.342623,0.0430234,2.0938,1.89359e-05,4.61828
3200,109.857,0.184692,0.334054,0.0417016,2.05565,1.62765e-05,4.63108
3300,110.265,0.185577,0.344653,0.0434006,2.0715,1.38646e-05,4.45589
3400,109.954,0.180228,0.341429,0.041294,2.01429,1.17166e-05,4.16433
3500,110.211,0.187283,0.331854,0.0422879,2.08105,9.8472e-06,4.23127
3600,109.607,0.185547,0.339123,0.0431165,2.06815,8.26916e-06,3.93923
3700,109.821,0.187207,0.330562,0.0419778,2.07933,6.99326e-06,4.29444
3800,110.163,0.185527,0.337033,0.0432449,2.06703,6.02822e-06,4.26975
3900,109.763,0.183436,0.323585,0.0415727,2.03772,5.38063e-06,4.13547
4000,109.566,0.189541,0.348148,0.0434772,2.11296,5.05491e-06,4.2086
4000,,,,,,,
