step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
8100,64.6031,0.20636,0.366004,0.0479618,2.84357,0.000108859,5.09766
8200,108.911,0.206575,0.366572,0.0460111,2.8449,0.000106935,5.36131
8300,109.606,0.199527,0.365243,0.0452387,2.771,0.00010501,5.24681
8400,109.165,0.204861,0.357617,0.0461089,2.80996,0.000103084,5.18336
8500,108.925,0.201415,0.363173,0.0450762,2.78557,0.00010116,nan
8600,109.077,0.201622,0.357627,0.0464397,2.77791,9.92368e-05,4.70362
8700,109.664,0.199505,0.359884,0.0447998,2.75961,9.73162e-05,5.0594
8800,109.576,0.203393,0.361561,0.0463671,2.80342,9.53988e-05,5.36401
8900,109.439,0.201638,0.36112,0.0454676,2.78408,9.34853e-05,5.31703
9000,109.61,0.205164,0.375061,0.0478384,2.8496,9.15765e-05,5.81648
9100,109.817,0.20372,0.362382,0.0458211,2.80778,8.96732e-05,5.40072
9200,109.693,0.202525,0.359543,0.0460086,2.79034,8.77763e-05,5.10327
9300,109.317,0.205453,0.356878,0.0465094,2.8148,8.58864e-05,5.06032
9400,109.446,0.202938,0.3584,0.0454194,2.7916,8.40044e-05,5.27064
9500,109.381,0.204048,0.361005,0.0448377,2.80732,8.2131e-05,5.64267
9600,109.299,0.205562,0.361574,0.047129,2.8259,8.0267e-05,5.83748
9700,109.045,0.202613,0.350551,0.0457294,2.77296,7.84131e-05,5.80263
9800,109.585,0.200412,0.357161,0.0459555,2.7644,7.65702e-05,4.86943
9900,109.844,0.201228,0.355141,0.0455081,2.76808,7.47389e-05,5.11776
10000,109.475,0.204202,0.352641,0.046239,2.79354,7.29201e-05,5.4537
10000,,,,,,,
10100,63.8265,0.201087,0.3466,0.0453049,2.74938,7.11145e-05,5.21587
10200,108.167,0.202062,0.354002,0.0458097,2.77443,6.93227e-05,5.21634
10300,109.7,0.201531,0.357321,0.0458171,2.77577,6.75457e-05,4.76021
10400,110.051,0.20127,0.353808,0.0433084,2.76362,6.5784e-05,4.90464
10500,109.368,0.199954,0.354342,0.0448758,2.7531,6.40384e-05,5.39112
10600,108.893,0.199991,0.358618,0.0445152,2.76166,6.23097e-05,nan
10700,109.63,0.19813,0.356948,0.0451636,2.74036,6.05985e-05,5.47052
10800,109.757,0.198744,0.352085,0.0450826,2.73669,5.89055e-05,5.1752
10900,109.957,0.199424,0.346985,0.0455805,2.73379,5.72315e-05,4.98644
11000,110.02,0.195884,0.351439,0.0447206,2.70644,5.55771e-05,5.10375
11100,109.416,0.199775,0.350062,0.0458009,2.74368,5.3943e-05,5.23683
11200,109.411,0.199091,0.352547,0.0448691,2.74087,5.23298e-05,5.1161
11300,109.229,0.194194,0.348931,0.0433655,2.68316,5.07384e-05,5.36303
11400,109.435,0.196013,0.350759,0.0451635,2.70681,4.91691e-05,4.90931
11500,110.196,0.197467,0.342557,0.0451987,2.70498,4.76229e-05,4.89257
11600,109.402,0.194905,0.345747,0.0443405,2.68489,4.61002e-05,5.58939
11700,109.104,0.201088,0.353996,0.0447187,2.76359,4.46017e-05,4.71799
11800,109.182,0.194438,0.351587,0.0452892,2.69284,4.3128e-05,4.8673
11900,109.538,0.201389,0.355581,0.0452305,2.77029,4.16797e-05,5.07855
12000,109.478,0.197284,0.351118,0.0441508,2.71923,4.02574e-05,4.88289
12000,,,,,,,
12100,59.1863,0.194955,0.350563,0.0440546,2.69473,3.88618e-05,4.65947
12200,108.958,0.196927,0.352238,0.0445231,2.71827,3.74933e-05,5.15022
12300,111.117,0.197225,0.353466,0.0437651,2.72295,3.61525e-05,4.9739
12400,109.404,0.197018,0.354514,0.0445344,2.72374,3.484e-05,5.24245
12500,109.077,0.193557,0.35081,0.0448068,2.682,3.35563e-05,5.04962
12600,110.463,0.196261,0.351686,0.0453087,2.71129,3.2302e-05,nan
12700,109.748,0.192157,0.344401,0.0435708,2.65394,3.10776e-05,4.69973
12800,109.447,0.196299,0.346492,0.0449998,2.70097,2.98835e-05,4.86574
12900,106.615,0.195989,0.347563,0.0452682,2.70029,2.87203e-05,4.9291
13000,109.503,0.193308,0.336344,0.0449877,2.65076,2.75884e-05,4.72705
13100,110.026,0.195671,0.348224,0.0447677,2.69792,2.64883e-05,4.7514
13200,109.912,0.191958,0.348939,0.0437867,2.66125,2.54204e-05,4.92999
13300,109.752,0.198594,0.349666,0.0437383,2.72901,2.43853e-05,4.47331
13400,108.271,0.195777,0.347993,0.0441989,2.69796,2.33832e-05,4.71571
13500,109.403,0.195101,0.347742,0.0447283,2.69122,2.24147e-05,4.74389
13600,85.9841,0.19675,0.348325,0.0435327,2.70768,2.14801e-05,4.4761
13700,108.295,0.193302,0.342935,0.0450432,2.66393,2.05799e-05,5.07301
13800,110.175,0.195612,0.346611,0.045016,2.69436,1.97143e-05,5.08719
13900,109.473,0.192701,0.347596,0.0435302,2.66573,1.88837e-05,4.60339
14000,108.95,0.192245,0.353529,0.0444157,2.67393,1.80885e-05,4.64184
14000,,,,,,,
14100,64.8283,0.194669,0.344804,0.0434262,2.67972,1.7329e-05,4.83798
14200,108.382,0.19739,0.345833,0.0436646,2.70923,1.66056e-05,4.93977
14300,110.734,0.192962,0.342521,0.044779,2.65944,1.59184e-05,4.87516
14400,109.468,0.195153,0.343272,0.0440172,2.68209,1.52679e-05,4.46531
14500,109.002,0.190709,0.337959,0.043278,2.62629,1.46542e-05,4.53403
14600,109.353,0.190954,0.330249,0.0438054,2.61385,1.40776e-05,5.02978
14700,110.405,0.189385,0.339524,0.0420287,2.61492,1.35383e-05,nan
14800,109.872,0.189045,0.339821,0.0443432,2.61444,1.30367e-05,4.65259
14900,110.168,0.185887,0.330086,0.0429748,2.56201,1.25728e-05,4.58091
15000,109.941,0.19174,0.346939,0.0433718,2.65465,1.21469e-05,4.44285
15100,109.357,0.193955,0.338504,0.0450421,2.6616,1.17591e-05,4.59711
15200,109.199,0.189598,0.345673,0.042603,2.62993,1.14096e-05,4.66209
15300,109.58,0.193269,0.338763,0.0435156,2.65374,1.10986e-05,nan
15400,109.703,0.192795,0.344694,0.0432156,2.66055,1.08261e-05,4.55748
15500,110.088,0.195401,0.340289,0.0439508,2.67854,1.05924e-05,4.96047
15600,109.37,0.195202,0.340521,0.0439363,2.677,1.03974e-05,5.08546
15700,109.485,0.194299,0.343411,0.0440511,2.67386,1.02412e-05,4.48905
15800,110.595,0.19166,0.340395,0.0436567,2.64104,1.0124e-05,4.56953
15900,110.209,0.19301,0.345362,0.0438833,2.6647,1.00458e-05,4.62755
16000,109.459,0.190505,0.337567,0.0438468,2.62403,1.00066e-05,4.62006
16000,,,,,,,
