step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
7800,104.821,0.192802,0.331585,0.0432925,2.63448,4.59907e-05,nan
7900,105.026,0.195341,0.337725,0.0450316,2.6739,4.49136e-05,5.65708
8000,98.5501,0.198312,0.338083,0.0428653,2.70215,4.38404e-05,5.56499
8000,,,,,,,
8100,71.1332,0.191023,0.333434,0.0433211,2.62042,4.27718e-05,4.86476
8200,104.665,0.191942,0.340199,0.0436006,2.64342,4.17084e-05,4.93548
8300,105.584,0.191739,0.329679,0.043101,2.61985,4.06506e-05,5.59037
8400,105.137,0.195698,0.341565,0.0453593,2.68547,3.9599e-05,5.31746
8500,70.3987,0.195153,0.337626,0.0444307,3.13016,3.85542e-05,5.5899
8600,74.2933,0.192581,0.341204,0.0449503,3.12105,3.75168e-05,nan
8700,74.1366,0.194966,0.339971,0.0440832,3.14423,3.64872e-05,5.69508
8800,74.2519,0.19179,0.336007,0.0443679,3.10668,3.5466e-05,5.96466
8900,73.6417,0.191362,0.338749,0.0440601,3.108,3.44538e-05,5.50118
9000,74.1121,0.188188,0.336123,0.0418727,3.0713,3.34511e-05,5.77115
9100,73.7217,0.195982,0.338009,0.044033,3.15604,3.24584e-05,5.1471
9200,65.0756,0.193851,0.341366,0.0436952,3.14259,3.14763e-05,5.1067
9300,63.6184,0.194188,0.341937,0.043993,3.148,3.05052e-05,5.37036
9400,75.0411,0.192186,0.341405,0.043355,3.12828,2.95456e-05,5.33374
9500,58.6016,0.191003,0.331204,0.0427593,3.09794,2.85982e-05,5.96754
9600,75.1636,0.191707,0.331469,0.0435317,3.10719,2.76633e-05,5.41025
9700,75.1653,0.196774,0.346036,0.0449785,3.19205,2.67415e-05,5.27969
9800,74.8017,0.193385,0.334859,0.0433312,3.13477,2.58332e-05,5.52516
9900,74.7384,0.192559,0.340306,0.0440384,3.13739,2.49389e-05,5.31288
10000,74.2848,0.190277,0.341466,0.0432658,3.11791,2.40591e-05,5.57276
10000,,,,,,,
10100,44.6526,0.190657,0.334375,0.0428211,3.10756,2.31943e-05,5.56315
10200,76.2929,0.191232,0.332965,0.0414539,3.11231,2.23449e-05,5.55387
10300,74.2476,0.191517,0.336385,0.0445833,3.12656,2.15113e-05,5.76429
10400,74.9676,0.191293,0.331635,0.0438444,3.1114,2.06941e-05,5.40598
10500,74.5197,0.190255,0.336213,0.0422061,3.11231,1.98935e-05,5.14302
10600,73.8587,0.196399,0.33708,0.043015,3.17656,1.91101e-05,5.66811
10700,74.3885,0.19446,0.3319,0.043135,3.15272,1.83443e-05,5.58765
10800,73.8958,0.195554,0.334613,0.0422664,3.16569,1.75964e-05,5.77051
10900,74.0601,0.194916,0.336669,0.0428611,3.16658,1.68669e-05,5.56882
11000,74.3264,0.190565,0.335451,0.0421304,3.11772,1.61561e-05,5.42616
11100,74.4558,0.189143,0.325915,0.042957,3.0872,1.54644e-05,5.3339
11200,74.9616,0.194032,0.334945,0.0432628,3.15333,1.47922e-05,5.6097
11300,74.759,0.193363,0.341274,0.0449308,3.16246,1.41399e-05,5.7079
11400,75.0678,0.195773,0.32856,0.0431567,3.1608,1.35077e-05,5.82815
11500,59.3248,0.191279,0.342147,0.0437302,3.1415,1.2896e-05,5.74245
11600,74.9439,0.193939,0.334876,0.0413169,3.15465,1.23051e-05,5.22502
11700,75.221,0.194562,0.341656,0.0436827,3.17894,1.17354e-05,5.67702
11800,74.68,0.187749,0.334428,0.0431455,3.09647,1.1187e-05,5.44498
11900,74.4394,0.193616,0.335734,0.0439363,3.15782,1.06605e-05,5.55625
12000,74.5546,0.19617,0.340112,0.0455512,3.18974,1.01559e-05,5.14906
12000,,,,,,,
12100,59.8677,0.189709,0.333111,0.0426305,3.11015,9.67357e-06,5.60781
12200,74.7007,0.191614,0.332948,0.0424659,3.13308,9.21378e-06,5.48997
12300,74.5046,0.189744,0.329622,0.0453055,3.10838,8.77674e-06,5.58734
12400,74.678,0.189043,0.339463,0.0431671,3.11803,8.3627e-06,5.42352
12500,74.3227,0.18957,0.334056,0.0423771,3.11212,7.97186e-06,5.69825
12600,74.7144,0.18717,0.336905,0.0423647,3.09766,7.60444e-06,5.44311
12700,74.2952,0.189439,0.331008,0.0423893,3.10825,7.26062e-06,5.3189
12800,74.6853,0.190932,0.330492,0.0416688,3.11973,6.9406e-06,5.56541
12900,74.8086,0.186657,0.335043,0.0420073,3.08713,6.64452e-06,5.90048
13000,74.8,0.193044,0.333618,0.0422448,3.14981,6.37257e-06,5.5463
13100,74.6399,0.193988,0.333176,0.0433218,3.16042,6.12486e-06,5.72261
13200,74.0751,0.190157,0.331025,0.0439015,3.1183,5.90154e-06,5.83059
13300,63.5807,0.189339,0.331056,0.0437434,3.1092,5.70273e-06,5.77845
13400,71.7095,0.194115,0.338004,0.0423757,3.1699,5.52852e-06,5.67945
13500,74.8059,0.190789,0.332287,0.0445647,3.12965,5.379e-06,5.57576
13600,74.8835,0.190831,0.336453,0.0430812,3.13832,5.25427e-06,5.94362
13700,74.3665,0.186969,0.335797,0.0421411,3.09622,5.15438e-06,5.61788
13800,74.6309,0.188527,0.332444,0.0420497,3.10625,5.07939e-06,5.6339
13900,74.6026,0.187701,0.340557,0.0428904,3.11398,5.02932e-06,5.74289
14000,74.1324,0.195523,0.332062,0.044972,3.1772,5.00423e-06,5.65033
14000,,,,,,,
